id,source_name,external_id,category,title,url,reward_amount,reward_currency,reward_evidence,open_date,close_date,status,eligibility,kyc_required,capital_required,candidate_score,verification_status
11,Grants.gov API,363027,grant,Pax Silica Artificial Intelligence Assistance Project,https://www.grants.gov/search-results-detail/363027,,USD,,07/01/2026,08/20/2026,posted,,1,0,93.0,staged
240,Immunefi,ethena,authorized_bug_bounty,Ethena,https://immunefi.com/bug-bounty/ethena/information/,3000000.0,USD,"Maximum Bounty $3,000,000",,,active,Authorized program; inspect scope before testing.,1,0,90.0,staged
238,Immunefi,dexeprotocol,authorized_bug_bounty,DeXe Protocol,https://immunefi.com/bug-bounty/dexeprotocol/information/,500000.0,USD,"Maximum Bounty $500,000",,,active,Authorized program; inspect scope before testing.,1,0,87.0,staged
239,Immunefi,ens,authorized_bug_bounty,ENS,https://immunefi.com/bug-bounty/ens/information/,250000.0,USD,"Maximum Bounty $250,000",,,active,Authorized program; inspect scope before testing.,0,0,87.0,staged
243,Immunefi,lombard-finance,authorized_bug_bounty,Lombard Finance,https://immunefi.com/bug-bounty/lombard-finance/information/,250000.0,USD,"bounty Maximum Bounty $250,000",,,active,Authorized program; inspect scope before testing.,1,0,87.0,staged
244,Immunefi,ssvnetwork,authorized_bug_bounty,SSV Network,https://immunefi.com/bug-bounty/ssvnetwork/information/,250000.0,USD,"Maximum Bounty $250,000",,,active,Authorized program; inspect scope before testing.,1,0,87.0,staged
245,Immunefi,stackingdao,authorized_bug_bounty,StackingDAO,https://immunefi.com/bug-bounty/stackingdao/information/,100000.0,USD,"bounty Staking Clarity Maximum Bounty $100,000",,,active,Authorized program; inspect scope before testing.,0,0,87.0,staged
247,Immunefi,zest-protocol-v2,authorized_bug_bounty,Zest Protocol V2,https://immunefi.com/bug-bounty/zest-protocol-v2/information/,100000.0,USD,"Maximum Bounty $100,000",,,active,Authorized program; inspect scope before testing.,0,0,87.0,staged
145,Grants.gov API,359061,grant,Centers of Research Excellence in Science and Technology - Research Infrastructure for Science and Engineering,https://www.grants.gov/search-results-detail/359061,,USD,,05/21/2025,08/07/2026,posted,,1,0,85.0,staged
130,Grants.gov API,362337,grant,"DoW Peer Reviewed Medical, Technology/Therapeutic Development Award",https://www.grants.gov/search-results-detail/362337,,USD,,05/08/2026,08/06/2026,posted,,1,0,85.0,staged
