file,category,functions,classes,imports,size_bytes
.venv\Lib\site-packages\pip\_internal\locations\_distutils.py,other,5,0,13,6013
.venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py,other,8,0,9,7724
.venv\Lib\site-packages\pip\_internal\locations\base.py,other,4,0,9,2556
.venv\Lib\site-packages\pip\_internal\main.py,other,1,0,2,340
.venv\Lib\site-packages\pip\_internal\metadata\__init__.py,other,7,1,11,4337
.venv\Lib\site-packages\pip\_internal\metadata\_json.py,other,3,0,3,2707
.venv\Lib\site-packages\pip\_internal\metadata\base.py,other,59,7,21,25298
.venv\Lib\site-packages\pip\_internal\metadata\importlib\__init__.py,other,0,0,2,135
.venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py,other,7,2,4,2796
.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py,other,22,2,17,8279
.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py,other,14,2,20,7431
.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py,other,32,4,16,10542
.venv\Lib\site-packages\pip\_internal\models\__init__.py,other,0,0,0,63
.venv\Lib\site-packages\pip\_internal\models\candidate.py,other,2,1,4,753
.venv\Lib\site-packages\pip\_internal\models\direct_url.py,other,21,5,5,6578
.venv\Lib\site-packages\pip\_internal\models\format_control.py,other,6,1,3,2486
.venv\Lib\site-packages\pip\_internal\models\index.py,other,2,1,1,1030
.venv\Lib\site-packages\pip\_internal\models\installation_report.py,other,3,1,4,2818
.venv\Lib\site-packages\pip\_internal\models\link.py,other,45,4,16,21448
.venv\Lib\site-packages\pip\_internal\models\scheme.py,other,0,1,1,575
.venv\Lib\site-packages\pip\_internal\models\search_scope.py,other,4,1,11,4531
.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py,other,1,1,2,2015
.venv\Lib\site-packages\pip\_internal\models\target_python.py,other,4,1,5,4271
.venv\Lib\site-packages\pip\_internal\models\wheel.py,other,5,1,7,4539
.venv\Lib\site-packages\pip\_internal\network\__init__.py,other,0,0,0,50
.venv\Lib\site-packages\pip\_internal\network\auth.py,other,28,6,19,20809
.venv\Lib\site-packages\pip\_internal\network\cache.py,other,10,1,9,4614
.venv\Lib\site-packages\pip\_internal\network\download.py,other,10,2,14,6048
.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py,other,20,2,10,7622
.venv\Lib\site-packages\pip\_internal\network\session.py,other,14,7,36,18771
.venv\Lib\site-packages\pip\_internal\network\utils.py,other,2,0,3,4088
.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py,other,2,1,9,1838
.venv\Lib\site-packages\pip\_internal\operations\__init__.py,other,0,0,0,0
.venv\Lib\site-packages\pip\_internal\operations\build\__init__.py,other,0,0,0,0
.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py,other,10,2,8,4774
.venv\Lib\site-packages\pip\_internal\operations\build\metadata.py,other,1,0,6,1422
.venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py,other,1,0,6,1510
.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py,other,2,0,8,2190
.venv\Lib\site-packages\pip\_internal\operations\build\wheel.py,other,1,0,5,1075
.venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py,other,1,0,5,1417
.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py,other,3,0,6,3045
.venv\Lib\site-packages\pip\_internal\operations\check.py,other,6,1,13,5912
.venv\Lib\site-packages\pip\_internal\operations\freeze.py,other,6,2,13,9843
.venv\Lib\site-packages\pip\_internal\operations\install\__init__.py,other,0,0,0,51
.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py,other,1,0,6,1283
.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,other,36,5,28,27615
.venv\Lib\site-packages\pip\_internal\operations\prepare.py,other,21,2,28,28118
.venv\Lib\site-packages\pip\_internal\pyproject.py,other,3,0,10,7286
.venv\Lib\site-packages\pip\_internal\req\__init__.py,other,2,1,8,2653
.venv\Lib\site-packages\pip\_internal\req\constructors.py,other,19,1,20,18430
.venv\Lib\site-packages\pip\_internal\req\req_file.py,other,22,4,18,20234
.venv\Lib\site-packages\pip\_internal\req\req_install.py,other,41,1,40,35786
.venv\Lib\site-packages\pip\_internal\req\req_set.py,other,9,1,5,2858
.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py,other,30,3,15,23853
.venv\Lib\site-packages\pip\_internal\resolution\__init__.py,other,0,0,0,0
.venv\Lib\site-packages\pip\_internal\resolution\base.py,other,2,1,3,583
.venv\Lib\site-packages\pip\_internal\resolution\legacy\__init__.py,other,0,0,0,0
.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py,other,14,1,23,24068
.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\__init__.py,other,0,0,0,0
.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py,other,21,3,8,5023
.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py,other,57,6,16,20001
.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py,other,26,3,27,32659
.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\found_candidates.py,other,8,1,7,6383
.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py,other,9,1,10,9935
.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py,other,9,2,5,3168
.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py,other,45,5,6,8065
.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py,other,6,1,22,12592
.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,other,11,2,24,8318
.venv\Lib\site-packages\pip\_internal\utils\__init__.py,other,0,0,0,0
.venv\Lib\site-packages\pip\_internal\utils\_jaraco_text.py,other,5,0,2,3350
.venv\Lib\site-packages\pip\_internal\utils\_log.py,other,3,1,2,1015
.venv\Lib\site-packages\pip\_internal\utils\appdirs.py,other,4,0,4,1665
.venv\Lib\site-packages\pip\_internal\utils\compat.py,other,3,0,7,2399
.venv\Lib\site-packages\pip\_internal\utils\compatibility_tags.py,other,9,0,3,6272
.venv\Lib\site-packages\pip\_internal\utils\datetime.py,other,1,0,1,242
.venv\Lib\site-packages\pip\_internal\utils\deprecation.py,other,3,1,5,3707
.venv\Lib\site-packages\pip\_internal\utils\direct_url_helpers.py,other,3,0,5,3196
.venv\Lib\site-packages\pip\_internal\utils\egg_link.py,other,3,0,6,2463
.venv\Lib\site-packages\pip\_internal\utils\entrypoints.py,other,3,0,7,3064
.venv\Lib\site-packages\pip\_internal\utils\filesystem.py,other,9,0,11,4950
.venv\Lib\site-packages\pip\_internal\utils\filetypes.py,other,1,0,2,716
.venv\Lib\site-packages\pip\_internal\utils\glibc.py,other,4,0,4,3734
.venv\Lib\site-packages\pip\_internal\utils\hashes.py,other,14,2,5,4972
.venv\Lib\site-packages\pip\_internal\utils\logging.py,other,16,8,20,11845
.venv\Lib\site-packages\pip\_internal\utils\misc.py,other,61,3,26,23450
.venv\Lib\site-packages\pip\_internal\utils\packaging.py,other,3,0,6,2142
.venv\Lib\site-packages\pip\_internal\utils\retry.py,other,3,0,4,1392
.venv\Lib\site-packages\pip\_internal\utils\setuptools_build.py,other,5,0,3,4435
.venv\Lib\site-packages\pip\_internal\utils\subprocess.py,other,6,0,10,8988
.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py,other,16,4,10,9310
.venv\Lib\site-packages\pip\_internal\utils\unpacking.py,other,12,0,14,11967
.venv\Lib\site-packages\pip\_internal\utils\urls.py,other,2,0,5,1599
.venv\Lib\site-packages\pip\_internal\utils\virtualenv.py,other,7,0,6,3456
.venv\Lib\site-packages\pip\_internal\utils\wheel.py,other,6,0,7,4494
.venv\Lib\site-packages\pip\_internal\vcs\__init__.py,other,0,0,5,596
.venv\Lib\site-packages\pip\_internal\vcs\bazaar.py,other,8,1,6,3528
.venv\Lib\site-packages\pip\_internal\vcs\git.py,other,21,1,12,18177
.venv\Lib\site-packages\pip\_internal\vcs\mercurial.py,other,10,1,9,5249
